| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
| straight          | 0.7720     | 0.6471     | 0.7312     | 68     | 100    |
| triangular        | 0.7918     | 0.6967     | 0.7706     | 122    | 367    |
| horizontal        | 0.6982     | 0.5862     | 0.6896     | 87     | 166    |
| slanted           | 0.5848     | 0.5000     | 0.6612     | 40     | 129    |
| tilted            | 0.6669     | 0.5250     | 0.7090     | 40     | 134    |
| upright           | 0.7625     | 0.6667     | 0.7529     | 51     | 98     |
| upside down       | 0.4249     | 0.3611     | 0.6370     | 36     | 348    |
| vertical          | 0.7696     | 0.7297     | 0.7460     | 111    | 166    |
| blue striped      | 0.5128     | 0.4444     | 0.5688     | 18     | 138    |
| blue plaid        | 0.5833     | 0.6154     | 0.6723     | 13     | 125    |
| checkered         | 0.4742     | 0.4833     | 0.6832     | 60     | 417    |
| dotted            | 0.5212     | 0.5417     | 0.6592     | 24     | 106    |
| floral            | 0.6845     | 0.5385     | 0.6974     | 65     | 222    |
| lined             | 0.5404     | 0.3385     | 0.5938     | 65     | 179    |
| patterned         | 0.8802     | 0.8048     | 0.7791     | 538    | 545    |
| pinstriped        | 0.7112     | 0.7143     | 0.8155     | 14     | 85     |
| plaid             | 0.6288     | 0.6786     | 0.7470     | 84     | 442    |
| polka dotted      | 0.2867     | 0.2941     | 0.5697     | 17     | 189    |
| red striped       | 0.5309     | 0.4737     | 0.6537     | 19     | 131    |
| speckled          | 0.7335     | 0.5926     | 0.7626     | 27     | 66     |
| spotted           | 0.8106     | 0.6000     | 0.7725     | 70     | 172    |
| striped           | 0.8027     | 0.6861     | 0.7755     | 309    | 873    |
| close             | 0.6812     | 0.4731     | 0.6894     | 167    | 342    |
| far away          | 0.7323     | 0.5570     | 0.6745     | 79     | 109    |
| angry             | 0.3362     | 0.1875     | 0.5938     | 16     | 188    |
| calm              | 0.9027     | 0.9172     | 0.7635     | 157    | 112    |
| frowning          | 0.2460     | 0.0000     | 0.5251     | 16     | 162    |
| grinning          | 0.5157     | 0.2586     | 0.6177     | 58     | 222    |
| happy             | 0.7713     | 0.7521     | 0.6954     | 234    | 254    |
| laughing          | 0.1632     | 0.1220     | 0.4865     | 41     | 265    |
| sad               | 0.1885     | 0.0556     | 0.5171     | 18     | 187    |
| serious           | 0.4188     | 0.1613     | 0.5519     | 31     | 158    |
| sleepy            | 0.5720     | 0.7143     | 0.7877     | 14     | 108    |
| smiling           | 0.7280     | 0.7076     | 0.7444     | 171    | 380    |
| smirking          | 0.2162     | 0.0909     | 0.5173     | 11     | 71     |
| surprised         | 0.2378     | 0.0625     | 0.5000     | 16     | 101    |
| unhappy           | 0.5040     | 0.5294     | 0.7756     | 17     | 135    |
| clapping          | 0.0523     | 0.0000     | 0.4392     | 8      | 148    |
| pointing          | 0.5479     | 0.2973     | 0.6216     | 37     | 162    |
| throwing          | 0.4621     | 0.6000     | 0.7162     | 30     | 201    |
| waving            | 0.7527     | 0.6000     | 0.8005     | 30     | 124    |
| bending           | 0.8951     | 0.7093     | 0.8332     | 86     | 151    |
| crouching         | 0.6917     | 0.6154     | 0.7656     | 78     | 899    |
| jumping           | 0.7018     | 0.6494     | 0.8257     | 77     | 759    |
| kneeling          | 0.1637     | 0.0323     | 0.4994     | 31     | 907    |
| leaning           | 0.5065     | 0.4369     | 0.6415     | 103    | 314    |
| leaning back      | 0.4696     | 0.3611     | 0.6366     | 36     | 183    |
| leaning forward   | 0.5978     | 0.4889     | 0.6824     | 45     | 145    |
| leaping           | 0.5199     | 0.2500     | 0.6028     | 28     | 572    |
| lying             | 0.8227     | 0.7353     | 0.7948     | 170    | 677    |
| running           | 0.6068     | 0.4922     | 0.7060     | 128    | 1296   |
| sitting           | 0.8452     | 0.8097     | 0.8166     | 452    | 683    |
| squatting         | 0.6979     | 0.7667     | 0.8227     | 30     | 656    |
| standing          | 0.8762     | 0.6811     | 0.7440     | 878    | 550    |
| turning           | 0.4729     | 0.1034     | 0.5226     | 29     | 126    |
| walking           | 0.7965     | 0.6267     | 0.7345     | 375    | 840    |
| brushing teeth    | 0.5318     | 0.7273     | 0.8369     | 11     | 206    |
